FID,IID,PS_PL1,PS_PL2,PS_PL3,PS_PL4,PS_PL5,PS_PL6,PS_PL7,PS_PL8,SM_PL9,SM_PL10,SM_PL11,SM_PL12,SM_PL14,SM_PL16,SM_PL18,SM_PL19,SM_PL21,SM_PL22,SM_PL24,SM_PL25,PE_PL26,PE_PL27,PE_PL28,PE_PL30,PE_PL31,PC_PL33,PC_PL34,PC_PL35,PC_PL36,PC_PL37,PC_PL38,PC_PL39,PC_PL40,PC_PL43,PC_PL44,PI_PL46,PI_PL47,PI_PL48,PI_PL49,PI_PL50,PI_PL51,LPC_PL52,LPC_PL53,LPC_PL55,LPC_PL56,LaCer_PL57,LaCer_PL58,LaCer_PL59,LaCer_PL60,LaCer_PL61,LaCer_PL62,LaCer_PL64,LaCer_PL66,Glucer_PL67,Glucer_PL69,Glucer_PL70
226,226,1626224,3368007,4402450,12694344,12397295,3517398,4524246,4099497,8172666,3183825,8839767,49903051,14256507,34035815,2788960,46885935,2934433,55872358,3159702,27397319,5032440,26055952,23950591,33434233,58959157,22551900,101164398,32591912,37063857,107317384,33986318,54290425,136215198,28833245,41042903,5646905,7838854,9498753,1186894,1612407,1367935,18883185,2459623,3403952,2264193,1311689,431784,739291,1201250,1271104,2836184,4205179,2035536,917918,1121657,754166
258,258,1830107,3897124,4529361,15071173,15548886,4525766,5904885,3889608,12172632,4997586,9542030,53132642,22191687,42578751,3915742,50873844,3041020,47265660,3672002,24452918,5236539,28037943,27053732,38730309,73489219,17585392,109687119,28287725,36281834,111904198,34352951,59708052,146904330,34861132,55650828,5565366,8135629,8943912,1166933,1423536,1176445,9369576,1663899,3050587,1591735,1115431,613968,945611,1306203,1345713,2725459,3356149,1655635,826519,1206771,689813
227,227,1278464,3228722,3436580,12110293,15313479,3263743,5139723,3991106,9951499,3707383,9378939,50064708,15883463,32813131,2854321,47207188,2851213,50428381,3112936,24294308,6364371,25064848,27226834,29872471,71493317,28053350,108699956,31662180,40132327,104174502,29693102,44043880,145386224,25093481,50035729,5929366,7563018,10517394,836134,1056082,847817,11927975,1552860,2453154,1825634,1252361,456814,805041,1031244,1147169,2741846,3475864,1603930,1125244,1367824,844910
259,259,1646541,3163728,5191064,14558045,12432436,4528058,5240518,4995079,11673356,4449341,9227535,50757627,20493420,39988620,4078740,49419769,3191457,45696369,4053885,26419705,4429152,23872590,22109431,39721993,65200499,19567540,98560161,25693776,35434959,91142763,29763427,61061174,129851426,34312025,46864802,4371784,7557801,9523887,1439075,2046793,1819145,8505054,1356468,2257616,1369502,1247686,586086,1009966,1212351,1515748,2582256,3212386,1720875,980962,1307508,875739
300,300,1132545,2860619,3846540,14862744,16434838,4772643,6614039,5012416,11854425,4382342,8736345,47635858,21973742,41141695,3502043,51252236,3071468,46644714,3251320,26040507,4224880,19614996,27282980,32800407,77758739,15883785,93573263,24405979,31494543,97059855,26918904,44929781,149463827,34214485,68359103,3123596,6162886,8195021,1188210,1605764,1443729,7912494,1393965,3792251,2146620,1142776,765324,1017557,1470574,1301755,3077618,3501584,1844079,738880,1049352,599486
260,260,1708512,3556648,4732222,13804571,13627190,4407955,5518870,5343918,10919443,4725126,7890324,52719147,18931106,37997816,3281089,48250556,2783369,50408145,3549111,26297844,4723493,23493555,22030396,38691131,68686611,19890760,107403873,24715469,36371107,111345629,33967430,53895780,123299671,35426092,48237839,4393426,6846907,7302665,1463060,1931011,1487418,11058249,1780885,3057309,2148792,1294508,524982,724375,1232969,1083287,2646686,3572940,1752969,547957,716610,437759
228,228,2115509,4735057,3966167,12732155,13417379,3623915,4766000,4307083,10429364,4163628,10310886,61207197,15204701,34746241,3179270,50382087,2945923,58988521,3983140,29285866,7725570,32810602,30907270,34605152,68357131,28851494,128470214,36341766,53037197,138733892,40061073,67830024,177668525,31064180,47954937,8194214,9175853,10316217,1055318,1321418,1018218,17472851,2502968,3119554,2025164,1170527,365402,660978,850609,1077484,2369172,3463167,1544951,1241935,1496174,1039651
261,261,1330016,3217291,4469685,14420279,14248489,4792974,6055532,6176017,11117546,4832565,9550697,46907800,19147777,36830494,3338621,45703852,2776836,42911365,3004080,23690249,3574711,17545805,20173633,35960183,73796652,16225993,84945712,25424699,31725035,81546329,24897438,46384748,123697862,34180462,56626970,3199740,7131916,8269080,1701537,2562111,2128471,5487337,940329,3524713,1170425,1333019,624947,1048075,1251109,1417033,2587304,3084033,1649468,749751,968491,582989
262,262,2590689,4505961,5196405,14558768,12871938,4760709,5350303,4132631,10065542,4706089,9169757,54838733,16688230,37054804,3313232,51025618,3133344,56327524,3698729,30432974,5258522,28788135,27760998,39203435,67332667,20886347,106002147,30573376,34001833,108607207,34890481,64754786,129906556,33460400,43268044,5444119,8214669,9384484,1097077,1449998,1212654,12700793,2391459,4279766,1814109,1424240,503933,818329,1143934,1375830,2893785,4080477,2080454,834611,997526,704569
301,301,2214374,3630257,4283794,11986784,9548035,4211289,4041241,3466141,6842298,2860425,7879821,36921088,12149326,25994438,2500441,34212693,2529697,34014039,2531051,17079850,5500213,26412739,21088651,32607169,50913023,23709075,99980666,33722841,35556370,88360951,28346153,47934533,103806008,23303202,31862186,4104540,5234175,5796088,804602,1017811,788891,14597932,2714019,3324358,2092437,1153105,528786,859957,1188187,1361079,2783736,3516935,1601436,771675,1071636,637932
